symbol	entrezID
SH3GL2	6456
KSR2	283455
AQP2	359
DEGS2	123099
FLT1	2321
TAP1	6890
STK17B	9262
TNIK	23043
IKZF1	10320
GBP3	2635
KRTAP1-3	81850
OSCAR	126014
GPSM2	29899
BMPR1B	658
MYH10	4628
BTNL9	153579
TRIM2	23321
THEMIS2	9473
ARL4C	10123
CKB	1152
GPC5	2262
PLEKHG4B	153478
PAPPA	5069
RALGPS1	9649
VASH1	22846
PATL2	197135
CCDC8	83987
RNF150	57484
BHLHE41	79365
RASSF5	83593
SCD	6319
CES3	23491
FAM167A	83648
DMRT2	10655
CNDP2	55748
PRELID2	153768
FABP7	2173
PDE7A	5150
BTN3A1	11119
RASSF2	9770
PCDHB10	56126
ABCA1	19
FOXI1	2299
MET	4233
TP53INP1	94241
NETO2	81831
CA10	56934
GPRC5A	9052
STC2	8614
