geneNames	GSM2674259	GSM2674260	GSM2674261	GSM2674262	GSM2674263	GSM2674264	GSM2674265	GSM2674266
hsa_circ_0000001	6.053212095	6.091401271	7.813370045	5.917333589	9.290735148	10.90937627	7.892912437	10.23653553
hsa_circ_0001821	6.694335425	9.408326317	9.03565384	7.74398201	7.556493698	8.123789752	6.429379751	6.234786543
hsa_circ_0000263	6.741445246	6.46145305	6.89100459	6.570779967	7.0894334	7.930358211	8.076639992	8.374760806
hsa_circ_0000011	5.537168306	5.933652598	5.400824377	5.66351221	5.204508059	5.105840958	5.038848228	5.06062623
hsa_circ_0000013	5.891744524	4.997106642	4.915802318	5.075410159	4.854787993	5.074072408	4.797577884	5.402957045
hsa_circ_0000015	6.143350305	7.332581626	5.710762018	5.773096669	5.226350055	5.287652827	5.347564238	5.240729811
hsa_circ_0000016	5.136925001	5.370631183	5.122761232	4.985768524	5.019519013	5.139485359	5.169860383	4.777992344
hsa_circ_0000023	7.998581334	8.50307394	7.977986142	8.221277223	7.979058652	7.20760873	7.148460186	7.583540803
hsa_circ_0000025	14.68540575	12.11296833	13.16635901	13.83191319	12.69763242	12.83804637	13.5794999	12.72463341
hsa_circ_0001321	5.136925001	5.586791387	5.798430004	5.344238646	5.06062623	4.876437754	4.724425861	5.402957045
hsa_circ_0000029	7.988498019	7.547605121	6.816962991	8.411106882	6.89858189	6.107183331	6.018164287	5.134360092
hsa_circ_0000030	5.493803826	5.46653373	5.710762018	5.283028609	6.494829791	6.325276445	5.588666298	7.02165614
hsa_circ_0000009	9.714940313	6.276094389	6.98083519	7.850958075	8.963433338	10.22045196	7.499833035	10.538248
hsa_circ_0000035	5.022296235	5.404022199	5.62748683	5.58303424	5.882603621	6.143350305	7.191043295	5.882603621
hsa_circ_0000036	6.337593138	6.292291952	8.206396038	6.354771921	9.847837831	10.73052184	8.340399314	10.89230441
hsa_circ_0000059	6.252043522	6.491827249	7.460442688	6.45530071	8.564143344	9.546770799	8.152751995	9.678707325
hsa_circ_0000049	5.778034738	5.417798099	5.686455357	5.353089914	5.509723948	6.510738657	7.601062358	5.515648991
hsa_circ_0000052	5.328617042	5.387961733	5.5468447	5.457327934	5.672379729	5.791120879	5.303721855	4.83280839
hsa_circ_0000055	6.530381171	6.497826097	8.88740612	6.538163902	10.30449209	11.74125562	9.596769118	11.4417438
hsa_circ_0000058	8.096047738	7.260022245	7.816973307	8.087122747	7.898024724	8.51396791	8.109985426	8.366998101
hsa_circ_0000060	5.682949304	5.972942751	6.317383445	6.187320152	7.063377689	8.350655862	8.911948846	7.795217493
hsa_circ_0000070	8.133455063	8.340677479	7.919226176	7.967216963	7.88454229	7.156698841	8.091592144	7.347330254
hsa_circ_0000074	5.902336222	6.964683234	7.630255384	6.881858983	6.228787674	6.611923159	6.129249785	6.619279294
hsa_circ_0000076	7.611243492	11.96436285	11.1962169	10.29504957	11.50171201	11.04929443	11.55731334	11.13971019
hsa_circ_0000078	9.03565384	8.036851589	7.699127431	8.215373494	7.930358211	8.13858354	7.221571535	6.98083519
hsa_circ_0000079	9.477691771	7.460442688	6.932933854	9.236907256	6.636601241	8.4483678	6.588221975	7.979058652
hsa_circ_0000189	5.778034738	6.701284108	5.941009743	6.505785956	5.917333589	6.757368507	5.430398609	6.384755912
hsa_circ_0000083	8.753002377	6.064708012	5.824917704	6.860291033	5.738893124	5.55837135	5.744790457	5.781317418
hsa_circ_0000084	7.432528434	9.895383497	8.809762945	8.490092285	9.08952897	7.751533265	8.288281901	7.124104636
hsa_circ_0000208	4.826466503	4.826466503	5.143317395	4.777992344	5.204508059	5.202060631	5.285342571	6.205761734
hsa_circ_0000089	11.50043654	8.388279477	7.615847634	11.65096685	7.856998991	6.781338566	6.992920073	8.097694472
hsa_circ_0000247	7.31003002	9.283518753	9.758220529	8.797250989	9.772569663	9.647343092	8.955372783	8.936265109
hsa_circ_0000096	10.06684383	8.120877486	7.671529657	9.703468256	7.391229732	7.224589128	7.477745216	7.689549986
hsa_circ_0000100	9.254139037	8.615853564	8.725360762	8.566285793	8.554342834	8.595484593	9.0766443	9.290159163
hsa_circ_0000101	4.826466503	4.56595591	4.738005092	4.797577884	4.854787993	5.312824433	5.057921891	4.610929618
hsa_circ_0000102	5.727876563	5.550697158	5.560283536	6.091401271	5.29226227	5.226350055	4.939503409	9.873008989
hsa_circ_0000103	5.744790457	5.537168306	5.346456559	5.816942359	5.698659877	5.511701667	5.328617042	5.815341986
hsa_circ_0000266	5.850146512	5.948329559	6.249082869	5.943942127	6.228787674	6.547833643	6.545904873	7.364667741
hsa_circ_0000106	8.795019747	9.87929359	8.332588842	9.149266702	7.764653595	6.757368507	7.022349919	7.960173641
hsa_circ_0000107	7.156698841	7.295180145	6.528428911	8.521348732	6.485803353	6.927388501	7.049830993	7.175533459
hsa_circ_0000108	7.416783914	9.147041786	9.24063844	8.622732317	8.909138209	8.160493617	8.639108728	7.883778954
