id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0000001	9.254596125	10.968968875	7.9118725	10.27689075	6.105651875	6.0464019375	7.75917325	5.92532975
hsa_circ_0001821	7.521444125	8.1385175	6.432009625	6.2923505	6.73705525	9.342639875	8.9854710625	7.75917325
hsa_circ_0000263	7.059722125	7.939644125	8.0978991875	8.4250650625	6.785290375	6.423232875	6.826166875	6.590300125
hsa_circ_0000011	5.1659355625	5.112313	5.051506125	5.1852795	5.556436875	5.890751125	5.350009375	5.677890375
hsa_circ_0000013	4.81420675	5.0772313125	4.79543675	5.48380275	5.95131375	4.95346475	4.86750675	5.090105625
hsa_circ_0000015	5.180496125	5.296056125	5.3460485	5.350009375	6.205998125	7.26996925	5.660581875	5.783516375
hsa_circ_0000016	4.97603575	5.138379	5.172530375	4.9090875	5.122697125	5.328398625	5.078407875	5.000465375
hsa_circ_0000023	7.9395723125	7.23463	7.178830125	7.622454	8.061000375	8.4452555	7.9166615	8.2199185
hsa_circ_0000025	12.66658325	12.78030875	13.4693165	12.703791875	14.674958125	12.029455875	13.192146375	13.887961375
hsa_circ_0001321	5.02927475	4.86908875	4.705945625	5.48380275	5.122697125	5.5501891875	5.751831375	5.34862525
hsa_circ_0000029	6.874769375	6.118568	6.00984275	5.2498263125	8.050618375	7.483363125	6.75336875	8.409690875
hsa_circ_0000030	6.4641519375	6.3258034375	5.59067025	7.055649625	5.510388125	5.438980625	5.660581875	5.286025625
hsa_circ_0000009	8.9116305	10.245077375	7.525623125	10.565218125	9.7789455	6.238303375	6.913688375	7.866401625
hsa_circ_0000035	5.848009	6.1490945	7.2200620625	5.942823	5.000465375	5.3675705	5.576320625	5.5847543125
hsa_circ_0000036	9.816743125	10.784689875	8.369757375	10.911699625	6.4058175	6.2560975625	8.14595375	6.3732460625
hsa_circ_0000059	8.5182125	9.571683875	8.176722	9.70880475	6.318968125	6.450145875	7.41082075	6.4702190625
hsa_circ_0000049	5.486829625	6.5170360625	7.6217775	5.59102225	5.818346875	5.3861676875	5.630902875	5.357124625
hsa_circ_0000052	5.653514125	5.803839875	5.300387125	4.968747625	5.3293856875	5.34862525	5.49621025	5.4647610625
hsa_circ_0000055	10.263431	11.7834595625	9.619625375	11.47134175	6.5791895	6.45628025	8.8442909375	6.552329625
hsa_circ_0000058	7.858538875	8.53203875	8.1348635625	8.4180735	8.15326875	7.1958345	7.7625830625	8.0983390625
hsa_circ_0000060	7.032666875	8.36827225	8.95824975	7.841893375	5.711986625	5.941749625	6.258808625	6.1987404375
hsa_circ_0000070	7.84761325	7.179943625	8.113426125	7.38731025	8.189159	8.28302875	7.8646643125	7.983653625
hsa_circ_0000074	6.192779875	6.63091825	6.127173	6.661881375	5.9562475625	6.913688375	7.5857391875	6.899956875
hsa_circ_0000076	11.445390875	11.1125675	11.612266375	11.1732805	7.666881	11.862490125	11.113936	10.294549
hsa_circ_0000078	7.885976875	8.1534774375	7.250345125	7.0162415	9.090491375	7.9815586875	7.65692825	8.2117211875
hsa_circ_0000079	6.60293475	8.463448	6.5994665	8.0290643125	9.5388875625	7.3979786875	6.866365875	9.2418175625
hsa_circ_0000189	5.876868875	6.77903725	5.438980625	6.438572875	5.818346875	6.6521315	5.880779625	6.51897575
hsa_circ_0000083	5.709699875	5.55911525	5.744235375	5.841199	8.810344375	6.022427625	5.777194625	6.87628325
hsa_circ_0000084	9.047012	7.765926625	8.3164006875	7.1587385	7.486239875	9.8249255625	8.7560679375	8.484205875
hsa_circ_0000208	5.1659355625	5.203298125	5.28341825	6.263234	4.81420675	4.804653875	5.10093875	4.804653875
hsa_circ_0000089	7.8167063125	6.804466625	7.014147625	8.148031875	11.600346625	8.331058375	7.57228875	11.6146045
hsa_circ_0000247	9.7415490625	9.669990875	8.9981014375	8.97918925	7.36718275	9.21968975	9.71352175	8.79266225
hsa_circ_0000096	7.357945875	7.250345125	7.504118	7.735145625	10.1326838125	8.062377	7.629021625	9.7048000625
hsa_circ_0000100	8.51062525	8.616468125	9.11259975	9.330340125	9.305160125	8.56336975	8.66978025	8.56394325
hsa_circ_0000101	4.81420675	5.322172125	5.0673913125	4.7326095	4.81420675	4.552000625	4.698933875	4.81420675
hsa_circ_0000102	5.260651625	5.233458375	4.941408	9.906792	5.757048375	5.515511375	5.517748625	6.110811625
hsa_circ_0000103	5.67142425	5.515511375	5.3247495	5.875558375	5.786802875	5.5019775	5.300387125	5.82919725
hsa_circ_0000266	6.192779875	6.562128875	6.5576949375	7.406297	5.908382375	5.908382375	6.1890275	5.95131375
