id	GSM1831924_con	GSM1831926_con	GSM1831928_con	GSM1831930_con	GSM1831932_con	GSM1831923_treat	GSM1831925_treat	GSM1831927_treat	GSM1831929_treat	GSM1831931_treat
hsa-let-7a	15.40627	15.40627	14.2702861	15.40627	13.8392999	13.595887	13.8392999	14.2702861	13.3375088	13.8392999
hsa-let-7a*	2.80492296	2.96507697	2.95294349	2.56212103	3.14481695	2.5265117	3.92756941	3.33407235	2.00162579	3.55906588
hsa-let-7b	12.684018	13.3375088	13.3375088	13.1164724	12.684018	12.910224	12.684018	13.1164724	12.629835	12.684018
hsa-let-7b*	4.31041032	3.76066459	3.9040546	3.84333014	3.85494171	4.72787356	4.6563322	4.37849901	3.76066459	4.52065899
hsa-let-7c	11.8441129	11.7975588	11.8441129	11.9456169	11.518273	11.609162	11.518273	11.7698027	11.518273	11.518273
hsa-let-7c*	0.0483108996	0.427632096	0.0483108996	0.0483108996	0.252739435	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-let-7d	10.693974	10.5623388	10.639211	10.5206386	10.619861	10.91479	10.840513	10.91479	10.2936302	10.693974
hsa-let-7d*	2.66711483	2.27066997	2.28621639	1.29772983	1.83698816	2.75523318	3.1601071	2.82094933	1.85411505	2.83268602
hsa-let-7e	10.773218	10.731958	10.731958	10.91479	10.5623388	10.2410901	10.639211	10.731958	9.7780226	9.9115163
hsa-let-7e*	3.26058604	2.61549974	3.09827752	2.3787267	2.82094933	1.9859822	3.23060439	2.85085109	0.872791326	3.37058356
hsa-let-7f	14.2702861	14.2702861	13.8392999	13.8392999	13.595887	13.8392999	13.595887	13.8392999	13.1164724	13.595887
hsa-let-7f-1*	4.25105268	3.7798119	4.14426151	3.92756941	4.22916674	4.57951839	4.55288056	4.31041032	3.4965516	4.39411053
hsa-let-7f-2*	0.382112789	0.359078551	0.808082106	0.147288434	0.187514303	1.11754475	1.61504469	0.88233258	0.0659641831	2.73809639
hsa-let-7g	11.9456169	11.8441129	11.9456169	11.7698027	11.7027109	11.9964202	11.7975588	11.609162	11.7698027	11.427229
hsa-let-7g*	1.04110216	0.658372541	0.0483108996	0.0483108996	0.769210028	1.8748454	0.0483108996	1.33683262	0.181157675	0.0483108996
hsa-let-7i	10.639211	10.5206386	10.693974	11.210882	11.158666	12.1046325	11.341798	11.518273	11.8880877	11.210882
hsa-let-7i*	2.63214861	1.41442492	2.10312165	2.10312165	2.86766564	3.09827752	3.81936755	3.6190057	2.86766564	3.67137397
hsa-miR-1	6.44160171	6.67266732	6.13943069	8.1687455	6.59255367	4.37849901	6.84752578	4.91656508	7.81792656	5.42196401
hsa-miR-100	10.0170654	9.9115163	10.0170654	9.9568104	9.4419154	9.139419	8.7385599	9.3048028	10.3639344	10.4222943
hsa-miR-100*	0.0483108996	0.0483108996	0.0483108996	2.65058842	0.0483108996	0.0483108996	0.0483108996	0.712609917	0.0483108996	1.92708733
hsa-miR-101	9.9568104	9.8761455	9.8344352	9.7215795	9.6733644	10.0700476	10.4742547	10.5623388	9.495168	10.2936302
hsa-miR-101*	2.77572054	2.46143731	2.80492296	1.89266573	2.34307182	3.06581184	4.12593088	4.29472026	1.66416381	3.97455176
hsa-miR-103	10.5623388	10.619861	10.3639344	10.4222943	10.639211	10.639211	10.693974	10.773218	10.4742547	10.619861
hsa-miR-103-as	0.282676621	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-105	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0842118399	1.2215286	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-105*	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-106a*	0.794200296	0.0483108996	1.61504469	0.554333492	0.52041921	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-106b	9.013275	8.88490975	9.013275	8.7385599	9.013275	10.1771094	10.3639344	9.8761455	9.2624041	9.9568104
hsa-miR-106b*	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-107	11.25604	11.25604	11.030231	11.089185	10.91479	11.427229	11.030231	10.840513	10.5623388	11.030231
hsa-miR-10a	11.427229	11.210882	11.427229	11.427229	10.773218	10.4742547	10.1771094	10.4742547	9.2189688	8.95639365
hsa-miR-10a*	4.28087997	4.0107266	4.36324294	4.04950842	3.84333014	3.6047755	3.28885276	4.06735891	2.05110869	0.0483108996
hsa-miR-10b	13.1164724	12.803383	12.910224	12.803383	12.3494391	11.7698027	11.8880877	12.419932	10.639211	11.341798
hsa-miR-10b*	6.4758804	5.96043293	5.88771582	5.71846542	4.99527233	5.11759582	5.7835724	5.80465579	4.0107266	5.63165326
hsa-miR-1178	0.289830188	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1179	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1180	2.72236238	2.89469007	1.94565941	3.03442552	2.99079151	2.94274537	2.56212103	2.54355629	3.88113967	0.0483108996
hsa-miR-1181	3.67137397	3.45134288	3.57346831	3.76066459	4.6563322	4.50200071	4.36324294	4.14426151	5.29682885	4.99527233
hsa-miR-1182	2.96507697	3.6047755	2.27066997	4.26621648	3.6047755	0.0483108996	1.20756207	1.64802645	4.9015536	0.0483108996
hsa-miR-1183	3.76066459	4.29472026	3.35246446	5.09567485	4.34610613	2.89469007	3.18799567	2.83268602	5.99002812	2.47807548
hsa-miR-1184	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1185	0.0483108996	0.244189638	0.0483108996	0.0483108996	0.303397567	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1197	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1200	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1201	3.48218063	3.23927385	3.86533604	3.18799567	4.04950842	3.37058356	3.7798119	3.63858987	2.47807548	4.9566928
hsa-miR-1202	10.2410901	10.693974	10.1771094	12.1471308	12.558078	10.0170654	9.1812521	8.986514	13.8392999	10.119096
hsa-miR-1203	0.259254855	1.19266057	0.397798688	0.93074715	0.794200296	0.0483108996	0.0483108996	0.0483108996	1.36192584	0.0483108996
hsa-miR-1204	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.252739435	0.0483108996
hsa-miR-1205	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1206	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1207-3p	0.427632096	0.410113882	0.0483108996	0.0483108996	0.232320198	0.0483108996	1.06834441	0.846995844	0.1000095235	0.0483108996
hsa-miR-1207-5p	8.5492189	9.6733644	8.0905454	10.2410901	10.2410901	8.1956313	7.93954255	7.67019958	12.490204	8.7776419
hsa-miR-1208	2.03584766	1.96261533	1.91067565	2.68659676	2.36099615	1.06834441	2.01976782	1.20756207	3.7798119	0.0483108996
hsa-miR-122	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	7.90110156	5.96043293	7.45251439	0.144416464	4.63936375
hsa-miR-122*	1.23303782	0.0483108996	0.0483108996	0.0483108996	0.0877599255	4.97605861	3.3159378	4.52065899	0.0483108996	2.63214861
hsa-miR-1224-3p	0.0483108996	0.1032661465	0.0483108996	0.0483108996	0.0483108996	0.794200296	0.0483108996	2.01976782	0.0483108996	0.0483108996
hsa-miR-1224-5p	5.29682885	5.44899936	5.24274562	6.25715729	5.53029167	4.936284	5.05378219	4.97605861	7.04001518	4.71125242
hsa-miR-1225-3p	4.36324294	3.97455176	4.10896349	4.10896349	4.25105268	4.71125242	4.67470518	4.40949908	4.63936375	4.74481082
hsa-miR-1225-5p	8.7776419	9.7215795	8.36803475	9.8344352	9.9568104	8.05710286	7.5944405	7.5533243	11.9456169	8.2635659
hsa-miR-1226	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1226*	4.09046265	4.12593088	3.2197942	4.4261476	4.06735891	3.40261687	3.35246446	3.3159378	5.69607688	3.68860468
hsa-miR-1227	3.17486048	2.70543919	3.11613183	2.75523318	3.20609387	3.89324003	3.58955224	3.42584064	2.25011092	3.79300618
hsa-miR-1228	5.0756846	5.05378219	5.05378219	4.84207122	5.11759582	5.39774249	5.39774249	5.0756846	5.76491377	5.14939338
hsa-miR-1228*	0.442749952	0.277245564	0.0483108996	0.92119438	0.846995844	0.0483108996	0.0483108996	0.0483108996	2.63214861	2.00162579
hsa-miR-1229	3.27455795	2.06742869	3.00357095	2.43117873	2.93118011	3.57346831	3.48218063	3.20609387	2.77572054	3.57346831
hsa-miR-1231	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1233	0.93074715	0.38971994	0.244189638	0.0483108996	0.238863043	2.15480968	1.85411505	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1234	4.88637334	4.7648651	4.91656508	4.60949946	4.91656508	5.19712866	5.26939967	5.03267089	5.42196401	5.44899936
hsa-miR-1236	0.353783045	0.560824742	0.675789314	0.0483108996	0.140259313	1.89266573	1.92708733	1.85411505	0.303397567	0.0483108996
hsa-miR-1237	4.02676732	3.72507868	3.68860468	3.68860468	3.74267912	4.28087997	4.26621648	4.12593088	3.93653047	4.04950842
hsa-miR-1238	4.5963674	4.52065899	4.60949946	4.37849901	4.57951839	5.09567485	5.11759582	4.78175074	4.57951839	4.9015536
hsa-miR-124	4.936284	4.71125242	4.71125242	3.81936755	3.89324003	2.96507697	2.10312165	2.15480968	0.0634171883	0.0483108996
hsa-miR-124*	0.135853885	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1243	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1244	0.0483108996	2.05110869	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	1.19266057	0.0483108996
hsa-miR-1245	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
hsa-miR-1246	7.90110156	8.321851	7.19919012	9.2624041	9.3458404	6.44160171	7.5533243	6.59255367	11.25604	6.08308712
hsa-miR-1247	0.397798688	0.0491114723	0.427632096	0.421998913	0.264444649	0.0483108996	1.83698816	0.0483108996	0.88233258	0.0483108996
hsa-miR-1248	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996	0.0483108996
