geneNames	GSM1831923	GSM1831924	GSM1831925	GSM1831926	GSM1831927	GSM1831928	GSM1831929	GSM1831930	GSM1831931	GSM1831932
hsa-let-7a	13.49453	14.841238	13.900181	14.841238	14.206847	14.206847	13.270214	14.841238	13.900181	13.697244
hsa-let-7a*	2.4993124	2.7995932	3.930924	2.9604216	3.3756933	2.9604216	1.9250283	2.6155617	3.5477252	3.138756
hsa-let-7b	12.910224	12.684018	12.684018	13.270214	13.09939	13.270214	12.629835	13.09939	12.684018	12.684018
hsa-let-7b*	4.7305217	4.335806	4.67783	3.7310581	4.3949013	3.9235969	3.7310581	3.8381643	4.51873	3.8302844
hsa-let-7c	11.609162	11.839785	11.518273	11.792867	11.792867	11.839785	11.518273	11.933301	11.518273	11.518273
hsa-let-7c*	0.08223072	0.000444	0.11855025	0.6231096	0.07007034	0.011321343	0.000727	0.006079325	0.19031447	0.34005597
hsa-let-7d	10.91479	10.693974	10.840513	10.566463	10.91479	10.639211	10.247543	10.525221	10.693974	10.619861
hsa-let-7d*	2.735803	2.6400843	3.166109	2.2903295	2.8761618	2.3595853	1.8018587	1.4597622	2.8371327	1.8262148
hsa-let-7e	10.247543	10.773218	10.639211	10.731958	10.731958	10.731958	9.732384	10.91479	9.914982	10.566463
hsa-let-7e*	1.9804901	3.2535722	3.2317214	2.631994	2.8996882	3.1094959	1.0533395	2.4388273	3.3603723	2.8116786
hsa-let-7f	13.697244	14.206847	13.697244	14.206847	13.900181	13.900181	13.09939	13.900181	13.697244	13.49453
hsa-let-7f-1*	4.5752277	4.2571983	4.5513477	3.765623	4.3166533	4.1607065	3.4734416	3.9235969	4.3949013	4.210081
hsa-let-7f-2*	1.2415673	0.56743056	1.5649312	0.50189495	1.067471	1.0048901	0.057330355	0.20449498	2.71378	0.24461512
hsa-let-7g	11.974354	11.933301	11.792867	11.839785	11.609162	11.933301	11.76724	11.76724	11.427229	11.695541
hsa-let-7g*	1.8843161	1.1385406	0.11855025	0.7534026	1.4597622	0.011321343	0.20449498	0.006079325	0.19031447	0.8841999
hsa-let-7i	12.0795	10.639211	11.341798	10.525221	11.518273	10.693974	11.883064	11.210882	11.210882	11.158666
hsa-let-7i*	3.0834618	2.6155617	3.8302844	1.5649312	3.6406674	2.16617	2.8116786	2.153812	3.6567318	2.8761618
hsa-miR-1	4.3807898	6.4651303	6.8912277	6.679445	4.9382644	6.1378264	7.7414174	8.164164	5.416406	6.5765433
hsa-miR-100	9.110054	10.023244	8.734195	9.914982	9.316978	10.023244	10.298751	9.961458	10.427974	9.460189
hsa-miR-100*	0.08223072	0.000444	0.11855025	0	0.8841999	0.011321343	0.000727	2.71378	1.9083738	0.003371571
hsa-miR-101	10.075248	9.961458	10.479397	9.880325	10.566463	9.83853	9.460189	9.732384	10.298751	9.696369
hsa-miR-101*	3.048843	2.7720535	4.124296	2.4870682	4.3014	2.8116786	1.6089164	1.9383255	3.9491067	2.3297794
hsa-miR-103	10.639211	10.566463	10.693974	10.619861	10.773218	10.371177	10.427974	10.427974	10.619861	10.639211
hsa-miR-103-as	0.08223072	0.37573308	0.11855025	0	0.07007034	0.011321343	0.000727	0.006079325	0.19031447	0.003371571
hsa-miR-105	1.3436166	0.000444	0.11855025	0	0.07007034	0.011321343	0.000727	0.006079325	0.19031447	0.10321286
