circRNA	miRNA
hsa_circ_0000374	hsa-miR-1224-3p
hsa_circ_0000374	hsa-miR-1226-3p
hsa_circ_0000374	hsa-miR-1276
hsa_circ_0000374	hsa-miR-133-5p
hsa_circ_0000374	hsa-miR-136-5p
hsa_circ_0000374	hsa-miR-138-5p
hsa_circ_0000374	hsa-miR-140-3p.2
hsa_circ_0000374	hsa-miR-145-5p
hsa_circ_0000374	hsa-miR-5195-3p
hsa_circ_0000374	hsa-miR-181a-3p
hsa_circ_0000374	hsa-miR-2467-3p
hsa_circ_0000374	hsa-miR-3160-3p
hsa_circ_0000374	hsa-miR-3913-3p
hsa_circ_0000374	hsa-miR-3918
hsa_circ_0000374	hsa-miR-3925-3p
hsa_circ_0000374	hsa-miR-4267
hsa_circ_0000374	hsa-miR-4299
hsa_circ_0000374	hsa-miR-4311
hsa_circ_0000374	hsa-miR-4328
hsa_circ_0000374	hsa-miR-4436-3p
hsa_circ_0000374	hsa-miR-4632-5p
hsa_circ_0000374	hsa-miR-6735-5p
hsa_circ_0000374	hsa-miR-6879-5p
hsa_circ_0000374	hsa-miR-7843-5p
hsa_circ_0000374	hsa-miR-4456
hsa_circ_0000374	hsa-miR-4470
hsa_circ_0000374	hsa-miR-4487
hsa_circ_0000374	hsa-miR-4504
hsa_circ_0000374	hsa-miR-4527
hsa_circ_0000374	hsa-miR-6503-5p
hsa_circ_0000374	hsa-miR-4685-5p
hsa_circ_0000374	hsa-miR-6837-5p
hsa_circ_0000374	hsa-miR-4733-3p
hsa_circ_0000374	hsa-miR-4761-3p
hsa_circ_0000374	hsa-miR-489-3p
hsa_circ_0000374	hsa-miR-500b-3p
hsa_circ_0000374	hsa-miR-515-5p
hsa_circ_0000374	hsa-miR-519-5p
hsa_circ_0000374	hsa-miR-515-5p
hsa_circ_0000374	hsa-miR-519-5p
hsa_circ_0000374	hsa-miR-542-3p
hsa_circ_0000374	hsa-miR-548q
hsa_circ_0000374	hsa-miR-558
hsa_circ_0000374	hsa-miR-5586-5p
hsa_circ_0000374	hsa-miR-583
hsa_circ_0000374	hsa-miR-598-5p
hsa_circ_0000374	hsa-miR-602
hsa_circ_0000374	hsa-miR-6131
hsa_circ_0000374	hsa-miR-629-3p
hsa_circ_0000374	hsa-miR-634
hsa_circ_0000374	hsa-miR-660-5p
hsa_circ_0000374	hsa-miR-6736-3p
hsa_circ_0000374	hsa-miR-6753-3p
hsa_circ_0000374	hsa-miR-7107-3p
hsa_circ_0000374	hsa-miR-6769-5p
hsa_circ_0000374	hsa-miR-6854-5p
hsa_circ_0000374	hsa-miR-7113-5p
hsa_circ_0000374	hsa-miR-766-3p
hsa_circ_0000374	hsa-miR-7978
hsa_circ_0000374	hsa-miR-935
hsa_circ_0000407	hsa-ID
hsa_circ_0000407	hsa-miR-10-5p
hsa_circ_0000407	hsa-miR-1306-5p
hsa_circ_0000407	hsa-miR-146a-3p
hsa_circ_0000407	hsa-miR-1914-5p
hsa_circ_0000407	hsa-miR-197-3p
hsa_circ_0000407	hsa-miR-20a-3p
hsa_circ_0000407	hsa-miR-2276-5p
hsa_circ_0000407	hsa-miR-3657
hsa_circ_0000407	hsa-miR-3912-5p
hsa_circ_0000407	hsa-miR-3945
hsa_circ_0000407	hsa-miR-4253
hsa_circ_0000407	hsa-miR-6862-5p
hsa_circ_0000407	hsa-miR-4666
hsa_circ_0000407	hsa-miR-4669
hsa_circ_0000407	hsa-miR-4711-5p
hsa_circ_0000407	hsa-miR-4713-5p
hsa_circ_0000407	hsa-miR-4722-3p
hsa_circ_0000407	hsa-miR-6727-3p
hsa_circ_0000407	hsa-miR-4793-5p
hsa_circ_0000407	hsa-miR-490-3p
hsa_circ_0000407	hsa-miR-5011-3p
hsa_circ_0000407	hsa-miR-504-5p.1
hsa_circ_0000407	hsa-miR-5196-3p
hsa_circ_0000407	hsa-miR-5581-3p
hsa_circ_0000407	hsa-miR-592
hsa_circ_0000407	hsa-miR-649
hsa_circ_0000407	hsa-miR-6514-3p
hsa_circ_0000407	hsa-miR-652-3p
hsa_circ_0000407	hsa-miR-6726-3p
hsa_circ_0000407	hsa-miR-6732-3p
hsa_circ_0000407	hsa-miR-6732-3p
hsa_circ_0000407	hsa-miR-6747-3p
hsa_circ_0000407	hsa-miR-6752-3p
hsa_circ_0000407	hsa-miR-6811-3p
hsa_circ_0000407	hsa-miR-6867-3p
hsa_circ_0000407	hsa-miR-6892-3p
hsa_circ_0000407	hsa-miR-6894-3p
hsa_circ_0000407	hsa-miR-7112-3p
hsa_circ_0000740	hsa-let-7-3p
hsa_circ_0000740	hsa-miR-1185-3p
hsa_circ_0000740	hsa-let-7-3p
hsa_circ_0000740	hsa-miR-98-3p
hsa_circ_0000740	hsa-miR-101-3p.2
hsa_circ_0000740	hsa-miR-1226-3p
hsa_circ_0000740	hsa-miR-1272
hsa_circ_0000740	hsa-miR-1288-5p
hsa_circ_0000740	hsa-miR-1322
hsa_circ_0000740	hsa-miR-148-3p
hsa_circ_0000740	hsa-miR-152-3p
hsa_circ_0000740	hsa-miR-191-3p
hsa_circ_0000740	hsa-miR-219-5p
hsa_circ_0000740	hsa-miR-296-3p
hsa_circ_0000740	hsa-miR-3130-3p
hsa_circ_0000740	hsa-miR-3180-5p
hsa_circ_0000740	hsa-miR-340-3p
hsa_circ_0000740	hsa-miR-6827-3p
hsa_circ_0000740	hsa-miR-3605-3p
hsa_circ_0000740	hsa-miR-3648
hsa_circ_0000740	hsa-miR-3655
hsa_circ_0000740	hsa-miR-3682-3p
hsa_circ_0000740	hsa-miR-4315
hsa_circ_0000740	hsa-miR-4685-5p
hsa_circ_0000740	hsa-miR-6837-5p
hsa_circ_0000740	hsa-miR-4733-3p
hsa_circ_0000740	hsa-miR-4789-5p
hsa_circ_0000740	hsa-miR-4793-3p
hsa_circ_0000740	hsa-miR-488-5p
hsa_circ_0000740	hsa-miR-5092
hsa_circ_0000740	hsa-miR-520-5p
hsa_circ_0000740	hsa-miR-525-5p
hsa_circ_0000740	hsa-miR-580-5p
hsa_circ_0000740	hsa-miR-6740-3p
hsa_circ_0000740	hsa-miR-6753-5p
hsa_circ_0000740	hsa-miR-6818-3p
hsa_circ_0000740	hsa-miR-6823-5p
hsa_circ_0000740	hsa-miR-6869-3p
hsa_circ_0000740	hsa-miR-6879-3p
hsa_circ_0000740	hsa-miR-7113-5p
hsa_circ_0000740	hsa-miR-92a-1-5p
hsa_circ_0000740	hsa-miR-933
hsa_circ_0000741	hsa-miR-1257
hsa_circ_0000741	hsa-miR-2355-5p
hsa_circ_0000741	hsa-miR-3607-5p
hsa_circ_0000741	hsa-miR-3692-3p
hsa_circ_0000741	hsa-miR-380-5p
hsa_circ_0000741	hsa-miR-563
hsa_circ_0000741	hsa-miR-3925-3p
hsa_circ_0000741	hsa-miR-4433b-5p
hsa_circ_0000741	hsa-miR-4452
hsa_circ_0000741	hsa-miR-4476
hsa_circ_0000741	hsa-miR-6876-5p
hsa_circ_0000741	hsa-miR-450a-5p
hsa_circ_0000741	hsa-miR-455-5p
hsa_circ_0000741	hsa-miR-4643
hsa_circ_0000741	hsa-miR-4662-3p
hsa_circ_0000741	hsa-miR-4699-5p
hsa_circ_0000741	hsa-miR-4709-3p
hsa_circ_0000741	hsa-miR-4717-3p
