geneNames	GSM2690785	GSM2690786	GSM2690787	GSM2690788	GSM2690789	GSM2690790
A1BG	33.185608	39.753544	48.73951	99.710091	39.620487	83.309547
A1CF	2181.95361	4598.15967	2770.79517	3274.23022	177.079315	1681.21399
A2M	4899.0251025	4516.2867045	4237.1187535	4762.4032425	7522.232177	4282.2475075
A2ML1	-0.921822	0.946513	-1.839227	-1.246376	0.808581	-2.731461
A4GALT	357.667114	369.140045	246.456375	51.101421	155.24762	147.498871
A4GNT	37.79472	17.037233	81.845589	149.56514	8.085814	170.716278
AAAS	45.1693	100.330368	40.46299	63.565186	52.557789	83.309547
AACS	875.731323	874.577942	1027.20813	2182.40454	2209.04419	1403.9707
AACSP1	49.778412	182.677002	67.131775	16.20289	24.257441	24.583145
AADAC	3.68729	4.732565	7.356907	7.478257	3.234325	12.291573
AADACL2	6.452757	10.411642	8.27652	11.217385	7.277232	20.485954
AADACL3	58.3820856666667	96.2288136666667	75.4082966666667	85.5844956666667	58.7569126666667	163.432391
AADACL4	42.403832	60.576828	64.372932	135.854996	49.323463	155.693253
AADAT	431.412903	512.063477	350.372681	896.14447	480.297333	636.430298
AAED1	339.230652	346.423737	296.115509	147.072388	251.468796	279.974701
AAGAB	37.794719	52.0582125	48.7395075	139.5941275	158.481941	146.133144
AAK1	925.048781	868.8988945	1393.2142015	1423.3616055	1497.492677	1276.9578705
AAMDC	428.64743	379.551697	376.121857	790.202454	761.683655	327.775269
AAMP	2852.11865	2544.22681	2678.83374	4061.93994	3109.80396	3149.37402
AANAT	6.452757	9.46513	12.874587	11.217385	7.277232	19.120224
AAR2	451.692993	401.321472	264.848633	749.072083	637.970703	401.524719
AARD	165.92804	173.211868	230.822952	380.144714	157.67337	428.839294
AARS	732.848816	893.50824	287.838989	665.56488	1336.58496	364.649994
AARS2	720.865112	877.41748	1020.77081	528.463501	780.281006	797.586487
AASDH	866.513062	955.978088	1195.49731	1199.01392	1188.61462	1683.94543
AASDHPPT	159.475281	221.484024	98.398628	315.33316	249.851639	196.665161
AASS	1265.66223	915.278015	1412.52612	2005.41919	1402.08008	1610.19604
AATF	357.667114	398.481934	186.681519	246.782486	318.581055	144.76741
AATK	136.429718	92.75827	119.549736	34.898533	35.57758	125.647186
AATK-AS1	95.86953	110.742012	203.234558	343.999817	89.752533	452.056732
ABAT	100.017734	169.425817	64.372933	357.086774	181.93081	377.624435
ABCA1	1436.19934	2629.41284	2417.66357	425.014282	659.802368	457.519653
ABCA10	110.157778	104.589679	114.032055	168.2607805	213.06119	269.048874
ABCA11P	19.358271	27.448875	11.03536	14.956514	45.280556	28.680336
ABCA12	194.504532	271.6492	51.498348	9.971009	6.468651	12.291573
ABCA13	5.530934	14.197694	8.27652	17.449266	42.04623	25.948875
ABCA17P	117.993271	146.709503	159.093109	262.985382	108.349899	232.174149
ABCA2	91.260422	109.795502	106.675148	191.941925	90.561112	158.424713
ABCA3	1068.39221	1164.21094	1048.35925	904.86908	654.950867	589.995483
ABCA4	26.732851	43.539597	57.016029	168.260788	164.142014	139.304489
ABCA5	11.061869	15.144207	6.437294	2.492752	28.300346	10.925842
