id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLCNKB|CLCNKA	-7.41254834969954	10.1055078652612	-21.9155922022244	3.94176377040681e-08	0.000211023364429327	8.76385952713184
FXYD4	-8.09386308782209	9.82601659304709	-21.6744284412388	4.28158597422494e-08	0.000211023364429327	8.7088461978846
CD70	6.35920904780416	7.69793935115888	20.9118299023183	5.594742076896e-08	0.000211023364429327	8.52754402446228
KCNJ1	-6.23223608958759	11.9489520612141	-20.7468443023853	5.93546076903562e-08	0.000211023364429327	8.48679273019269
CA9	8.52200740758237	8.52858725309394	20.256657107534	7.09445228645563e-08	0.000211023364429327	8.36235266403536
KNG1	-7.85844331298873	9.4288680077321	-19.218477734524	1.04990592259065e-07	0.000211023364429327	8.08115990800112
NPTX2	6.74111972750233	8.32162984809138	19.1515987572651	1.07750384265806e-07	0.000211023364429327	8.06217689318498
LOC100131551	6.25393645119715	5.83484333633337	19.038308969163	1.12614378035636e-07	0.000211023364429327	8.0297701338489
GGT6	-6.6986871163069	7.54007213187875	-18.7393024877392	1.26687950122501e-07	0.000211023364429327	7.94269992017869
ATP6V1C2	-5.61194218569952	7.02322022898352	-18.7194699444321	1.27689488665572e-07	0.000211023364429327	7.9368445488204
TFAP2B	-5.99058674640561	6.24025710911063	-18.6305513275112	1.32291172547167e-07	0.000211023364429327	7.91046776035611
GP2	-5.96967092855884	5.63001852084818	-18.5985737063885	1.33991628547431e-07	0.000211023364429327	7.90093193984159
SIM2	-5.863463653483	6.92046874026318	-18.5496879842395	1.36639126243027e-07	0.000211023364429327	7.88630264309016
FABP7	7.96511714824398	9.76719768749467	17.970204721728	1.7297147247811e-07	0.000245558246089277	7.7080361840687
FLJ42875	-5.31973004513872	6.03626023001262	-17.828222844632	1.83462354502124e-07	0.000245558246089277	7.66295398565801
CP	6.77797758825877	7.80789522370647	17.3833082370111	2.21290880756895e-07	0.000263576613598722	7.51794753541695
ATP6V1B1	-6.02190885114052	8.9603697500637	-17.2806209476131	2.3122653404249e-07	0.000263576613598722	7.48365411120382
ATP6V0A4	-7.97521324911671	7.19646120996625	-17.2299991772739	2.36309161965284e-07	0.000263576613598722	7.46663196362008
ATP6V1G3	-7.61574943990679	6.11979974842669	-17.0918176947226	2.50837366633893e-07	0.000265055884732035	7.41977087449762
C10orf99	5.41121312901983	5.00982614837753	16.7818981262498	2.87238657231316e-07	0.000288344526061656	7.3125207038801
UMOD	-8.25577871610443	11.3124305101963	-16.6244142417571	3.07996458493777e-07	0.000294459280818074	7.25685715425456
STAMBPL1	5.65932718779266	4.78593999704134	16.4448830682017	3.33753708969129e-07	0.0003045806006806	7.19241939072059
FABP6	5.07771408428929	9.00199227503001	16.1062669643326	3.89234666307492e-07	0.000339768017193718	7.0679613857546
ENPP3	6.24514685944448	8.38131298480171	15.6371911994043	4.84131297233891e-07	0.000404996002273535	6.88899854599852
ATL3	6.33164987937668	4.5123570126961	15.4842294236222	5.20527287536574e-07	0.000418025054074872	6.82893122313414
CASR	-5.28284785019	6.61826182603957	-15.3622209900324	5.51778727109196e-07	0.000426079288621974	6.78039864342166
GCGR	-6.73785465320988	7.96591066164518	-15.0922887809981	6.28735170553556e-07	0.000458238492024982	6.67102520779234
KCNJ10	-5.26961010935311	7.46528134676866	-14.9917942995228	6.60423453845832e-07	0.000458238492024982	6.62958839857204
SCNN1B	-6.37882750697913	7.32726940549163	-14.9872526895294	6.61897508030307e-07	0.000458238492024982	6.62770642520917
TRHDE-AS1	-6.02062361207962	4.19656032612076	-14.6830633407162	7.69626207563712e-07	0.000515059512308555	6.49978656281242
HPS3	4.69512274721334	4.48753512776445	14.3308295973145	9.1986399089024e-07	0.000595745462745269	6.34693664655203
HAVCR2	7.13097962651645	5.10275020460117	14.2682110854328	9.49899591938531e-07	0.000595972940854684	6.31921686541105
AQP2	-11.9910356941678	5.92926897188558	-14.1704466512967	9.99030613087527e-07	0.000607804170271463	6.27560169651272
TREM2	5.07729236840099	9.15074560474203	14.1064899625704	1.03272072743312e-06	0.000609821589549255	6.24684456909953
SLC52A3	-5.60955140546645	5.15489291090125	-14.0328280732849	1.07312069744024e-06	0.000615572692643079	6.21350151086791
SLC4A1	-4.42417257127251	8.87081809217752	-13.9305698784823	1.13219165598097e-06	0.000616479498793857	6.16681616427027
FGF9	-4.7615253809932	6.78624245603624	-13.8723558631798	1.1674526550353e-06	0.000616479498793857	6.1400301126771
ELF5	-5.79134578739696	7.12811694527907	-13.8468181346363	1.18331057344477e-06	0.000616479498793857	6.12823124098743
TACSTD2	-4.8079361301419	11.7640538092257	-13.7765224305469	1.22823031089079e-06	0.000616479498793857	6.09560067055955
ALDH1A2	-3.90793248406625	9.11414210634728	-13.476900622313	1.44251936786644e-06	0.000706377106064743	5.95396376199058
MYC	5.65107858120988	4.64690066216499	13.2997282237764	1.58892057659227e-06	0.000759127978969967	5.8682175084457
APCDD1L	-6.51644005097775	3.60476570305816	-16.7798872075836	1.20226318766836e-06	0.000616479498793857	5.84635815442741
SLC12A1	-7.23490402010491	7.94666969816197	-13.1874145845894	1.69037814987309e-06	0.000759127978969967	5.81307419211244
C16orf11	-4.91616145358231	4.56944726914823	-13.1831066830828	1.69441254904753e-06	0.000759127978969967	5.81094680332179
OR7E156P|FLJ25694|LOC100134040	-4.98776986815368	4.39269894827404	-13.1242095825021	1.75067279076477e-06	0.000759127978969967	5.78176948369997
PLA2G7	4.71225363399973	5.74268228440947	13.1146472259288	1.76000419724895e-06	0.000759127978969967	5.77701612592958
CDCA2	5.56839634664231	7.38290899913862	13.0851039244933	1.7891899113269e-06	0.000759127978969967	5.76230168851656
ZNF582	-4.95831747361938	4.28702031708846	-13.0595057664146	1.81491970864962e-06	0.000759127978969967	5.74951697126584
HK2	5.07353476503387	10.0411352874744	12.8366475640338	2.05741775379802e-06	0.00084299543353067	5.63681482147715
SH3GL2	-3.99010472517477	6.95286599499942	-12.7973292553316	2.10388504022066e-06	0.000844793999050204	5.61666749851944
RHCG	-5.33083048661844	6.84931219173034	-12.6223941108029	2.32547902299571e-06	0.000915463575385978	5.52605113222406
NRK	-5.71763420919633	4.52708440123331	-12.5846249264814	2.37670281561888e-06	0.000917635815945776	5.50627499030852
LMO3	-4.05602720954794	9.37642462960732	-12.530854428834	2.45183532745945e-06	0.000928782978667988	5.4779892300866
SLC4A9	-5.57723911466693	9.23747058005913	-12.4540388225771	2.56385371315608e-06	0.000939847215297127	5.43731120181528
ADH1C	-5.94620975534356	6.46504502209039	-12.446824208591	2.57466737268227e-06	0.000939847215297127	5.43347428620531
AHNAK2	4.47375947325033	8.61165134126338	12.3556660885707	2.71581937246014e-06	0.000973669741801467	5.38474979333773
C3	5.5147334459683	11.1703997443866	12.3066483615303	2.7953099391054e-06	0.000984586625393317	5.35836115189682
NUPR1L|LOC100289098	-4.83396057446076	5.9427698860957	-12.2198250803953	2.94262376808659e-06	0.00101860443779094	5.31129322875991
GRM1	-4.11103003243452	7.00441542837571	-12.1762322405835	3.01987068031767e-06	0.00102762616353793	5.28750228287632
SDC3	3.9048452542295	5.56786198580651	12.0873227178215	3.18460115551777e-06	0.00106562062332217	5.23864737156096
HSPB7	-3.64664108302302	9.90233924835727	-11.9733045112358	3.41085641147057e-06	0.00112261908480483	5.1753356841382
DUSP9	-5.45868172070549	9.51706250536712	-11.9051228458916	3.55477621681561e-06	0.00115111680814527	5.1371173472324
