miRNA	Gene	miRDB	TargetScan	Sum
hsa-miR-193a-5p	COL23A1	1	1	2
hsa-miR-188-3p	ZNF175	1	1	2
hsa-miR-509-5p	MAP4K3	1	1	2
hsa-miR-507	SORBS2	1	1	2
hsa-miR-507	CCDC71L	1	1	2
hsa-miR-362-5p	CTCF	1	1	2
hsa-miR-188-3p	SIK2	1	1	2
hsa-miR-362-3p	FOXO3	1	1	2
hsa-miR-532-5p	SLC35E2	1	1	2
hsa-miR-507	PRDM2	1	1	2
hsa-miR-509-5p	MAGI2	1	1	2
hsa-miR-595	SH3GL2	1	1	2
hsa-miR-188-3p	NSG1	1	1	2
hsa-miR-509-5p	SCML4	1	1	2
hsa-miR-330-3p	EPM2AIP1	1	1	2
hsa-miR-330-3p	ZMAT3	1	1	2
hsa-miR-362-3p	CAMK1D	1	1	2
hsa-miR-509-5p	ATRNL1	1	1	2
hsa-miR-507	C5orf15	1	1	2
hsa-miR-330-3p	MAP2K1	1	1	2
hsa-miR-330-3p	SMARCC1	1	1	2
hsa-miR-507	IGF1	1	1	2
hsa-miR-330-3p	STXBP5L	1	1	2
hsa-miR-188-3p	IGF2BP1	1	1	2
hsa-miR-509-3p	ANO5	1	1	2
hsa-miR-509-5p	LYSMD4	1	1	2
hsa-miR-330-3p	COMMD3-BMI1	1	1	2
hsa-miR-509-5p	CROT	1	1	2
hsa-miR-362-3p	CD82	1	1	2
hsa-miR-509-3p	LRRC39	1	1	2
hsa-miR-330-3p	TIMM13	1	1	2
hsa-miR-330-3p	NPTX2	1	1	2
hsa-miR-362-5p	SEZ6L	1	1	2
hsa-miR-188-3p	WRAP73	1	1	2
hsa-miR-509-5p	C2orf73	1	1	2
hsa-miR-362-3p	OLFML2B	1	1	2
hsa-miR-532-5p	MCTP1	1	1	2
hsa-miR-330-3p	AMMECR1	1	1	2
hsa-miR-330-3p	SPOCK3	1	1	2
hsa-miR-595	BLOC1S2	1	1	2
hsa-miR-509-3p	IFIT1	1	1	2
hsa-miR-595	ROCK2	1	1	2
hsa-miR-532-5p	CAST	1	1	2
hsa-miR-362-3p	PCDHAC2	1	1	2
hsa-miR-509-5p	ATP8A1	1	1	2
hsa-miR-330-3p	PRKX	1	1	2
hsa-miR-330-3p	ZNF736	1	1	2
hsa-miR-509-5p	AKAP6	1	1	2
hsa-miR-507	ZIC1	1	1	2
hsa-miR-507	YES1	1	1	2
hsa-miR-188-3p	ARL13B	1	1	2
hsa-miR-342-5p	AGPAT3	1	1	2
hsa-miR-509-5p	EIF1B	1	1	2
hsa-miR-509-5p	AAK1	1	1	2
hsa-miR-507	RGMB	1	1	2
hsa-miR-509-3p	RAC1	1	1	2
hsa-miR-330-3p	ACPP	1	1	2
hsa-miR-330-3p	ZCCHC24	1	1	2
hsa-miR-507	TMEM106B	1	1	2
hsa-miR-509-3p	NPAS2	1	1	2
hsa-miR-330-3p	PRPF4	1	1	2
hsa-miR-509-5p	AASDHPPT	1	1	2
hsa-miR-507	PRKCE	1	1	2
hsa-miR-532-5p	SPIRE1	1	1	2
hsa-miR-509-5p	MBOAT2	1	1	2
hsa-miR-509-3p	NLK	1	1	2
hsa-miR-532-5p	MKL2	1	1	2
hsa-miR-330-3p	POU4F2	1	1	2
hsa-miR-507	CDKL2	1	1	2
hsa-miR-507	FMN2	1	1	2
hsa-miR-188-3p	ELOVL4	1	1	2
hsa-miR-507	ZNF85	1	1	2
hsa-miR-595	RGN	1	1	2
hsa-miR-532-5p	NAP1L1	1	1	2
hsa-miR-188-3p	CWC27	1	1	2
hsa-miR-509-5p	ANKRD50	1	1	2
hsa-miR-330-3p	ZNF629	1	1	2
hsa-miR-595	HINT1	1	1	2
